"Accepted Symbol","Synonym Symbol","Scientific Name","Invasive","C:N Ratio","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Frost Free Days, Minimum","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Commercial Availability","Propogated by Seed","Palatable Browse Animal"
"QULA3","","Quercus laurifolia","","High","Rapid","28","70","No","None","Yes","Yes","220","Medium","4.2","6.5","40","70","36","Tolerant","-3","Routinely Available","Yes","High"
"QULY","","Quercus lyrata","","High","Moderate","30","80","No","None","No","Yes","180","High","4.5","7.5","36","60","24","Intermediate","-23","Routinely Available","Yes","Medium"
"QUMA2","","Quercus macrocarpa","","High","Slow","25","100","No","None","Yes","Yes","100","Medium","4.5","7.5","15","50","28","Intermediate","-38","Routinely Available","Yes","Medium"
"QUMA3","","Quercus marilandica","","High","Slow","20","25","No","None","Yes","Yes","185","Low","4.6","5.6","17","48","24","Intolerant","-13","Routinely Available","Yes","Medium"
"QUMI","","Quercus michauxii","","High","Moderate","35","80","No","None","No","Yes","180","Medium","4.5","6.5","40","70","28","Intolerant","-20","Routinely Available","Yes","Medium"
"QUMO4","","Quercus montana","","","","","","","","","","","","","","","","","","","","",""
"QUMO4","QUPR2","Quercus prinus","","High","Slow","25","73","No","None","Yes","Yes","120","Medium","4.5","6.5","32","80","36","Intermediate","-30","Routinely Available","Yes","Low"
"QUNI","","Quercus nigra","","High","Rapid","30","90","No","None","No","Yes","190","High","4.8","7.3","35","70","40","Intolerant","-20","Routinely Available","Yes","Low"
"QUPA5","","Quercus pagoda","","High","Moderate","60","120","No","None","No","Yes","210","Medium","4.5","6.0","40","70","36","Intolerant","-7","Routinely Available","Yes","Medium"
"QUPA2","","Quercus palustris","","High","Rapid","40","100","No","None","No","Yes","120","High","4.5","6.5","32","60","30","Intolerant","-33","Routinely Available","Yes","Low"
"QUPH","","Quercus phellos","","High","Rapid","60","100","No","None","No","Yes","180","High","4.5","6.5","40","70","12","Intolerant","-23","Routinely Available","Yes","High"
"QURU","","Quercus rubra","","High","Moderate","36","81","No","None","Yes","Yes","100","Medium","4.3","7.3","30","80","36","Intermediate","-35","Routinely Available","Yes","Medium"
"QUSH","","Quercus shumardii","","High","Moderate","35","100","No","None","Yes","Yes","120","Medium","5.0","7.6","25","70","40","Intolerant","-22","Routinely Available","Yes","Low"
"QUST","","Quercus stellata","","High","Slow","25","60","No","None","Yes","Yes","165","Medium","4.8","6.5","22","80","36","Intolerant","-33","Routinely Available","Yes","Low"
"QUTE","","Quercus texana","","High","Rapid","40","110","No","None","No","No","110","Medium","4.5","5.5","40","65","40","Intolerant","-18","Routinely Available","Yes","Medium"
"QUVE","","Quercus velutina","","High","Moderate","25","80","No","None","Yes","Yes","140","Medium","4.5","6.5","30","80","40","Intermediate","-30","Routinely Available","Yes","Medium"
"QUVI","","Quercus virginiana","","High","Rapid","25","50","Yes","None","Yes","Yes","240","Medium","4.5","7.3","32","70","40","Intermediate","7","Routinely Available","Yes","Low"
