"Accepted Symbol","Synonym Symbol","Scientific Name","Invasive","C:N Ratio","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Frost Free Days, Minimum","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Commercial Availability","Propogated by Seed","Palatable Browse Animal"
"CIPA3","","Citrus ×paradisi","","High","Moderate","20","20","Yes","None","No","Yes","365","Medium","4.0","7.5","40","100","60","Intermediate","31","Routinely Available","Yes",""
"CISI3","","Citrus ×sinensis","","","","","","","","","","","","","","","","","","","","",""
"CISI3","CISI","Citrus sinensis","","High","Moderate","30","30","Yes","None","Yes","Yes","365","Medium","5.0","7.0","60","100","60","Intermediate","17","Routinely Available","Yes","Low"
"CLMAJ","","Cladium mariscus ssp. jamaicense","","Medium","Moderate","","8.2","No","None","Yes","Yes","200","Medium","4.5","8.6","35","60","16","Intolerant","12","Routinely Available","Yes",""
"CLKE","","Cladrastis kentukea","","High","Moderate","25","40","No","None","Yes","Yes","180","Low","4.8","7.5","36","55","24","Intermediate","-32","Routinely Available","Yes",""
"CLLI2","","Clematis ligusticifolia","","Medium","Moderate","","1.0","No","None","Yes","Yes","120","Medium","5.6","8.4","12","20","16","Intermediate","-38","Routinely Available","Yes","Low"
"CLAL3","","Clethra alnifolia","","High","Moderate","16","16","No","None","Yes","Yes","150","High","4.5","7.0","35","60","16","Intermediate","-23","Routinely Available","Yes","Medium"
"CODI8","","Coccoloba diversifolia","","","Moderate","38","25","Yes","None","Yes","Yes","365","","","","","","36","Tolerant","40","Routinely Available","Yes","Medium"
"COUV","","Coccoloba uvifera","","High","Slow","25","25","Yes","None","Yes","Yes","365","Low","5.0","8.0","20","60","60","Intermediate","17","Routinely Available","Yes","Low"
"CONU","","Cocos nucifera","","High","Moderate","60","60","Yes","None","Yes","Yes","365","Low","4.0","8.0","20","80","60","Intolerant","18","Routinely Available","Yes","Low"
"COAR2","","Coffea arabica","","High","Moderate","","15","Yes","None","Yes","Yes","365","High","4.0","7.5","60","100","40","Tolerant","17","Routinely Available","Yes",""
"COCO13","","Conoclinium coelestinum","","","Moderate","","3.2","No","None","No","Yes","170","Medium","5.5","7.5","24","60","14","Tolerant","-13","Routinely Available","Yes",""
"COMA7","","Convallaria majalis","WI","High","Slow","","0.8","No","None","No","Yes","130","Medium","5.5","7.5","32","65","10","Tolerant","-33","Routinely Available","No","Low"
"COFR2","","Cordyline fruticosa","","Medium","Moderate","10","10","Yes","None","Yes","Yes","365","Medium","5.5","7.7","40","200","18","Intermediate","35","Routinely Available","No",""
"COLA5","","Coreopsis lanceolata","","Low","Moderate","","2.0","No","None","No","Yes","180","Medium","6.0","7.0","30","60","6","Intolerant","-8","Routinely Available","Yes","Low"
"COTI3","","Coreopsis tinctoria","NE&GP, SWSS","Medium","Rapid","","3.0","No","None","No","Yes","90","High","5.2","7.8","20","55","8","Intermediate","52","Routinely Available","Yes",""
"COAM2","","Cornus amomum","","High","Moderate","7","10","No","None","Yes","Yes","110","High","5.0","7.0","36","60","16","Intermediate","-38","Routinely Available","Yes","Low"
"CODR","","Cornus drummondii","","High","Rapid","25","20","No","None","No","Yes","110","Low","4.5","7.5","32","55","20","Intermediate","-28","Routinely Available","Yes","High"
"COFL2","","Cornus florida","","High","Moderate","20","30","No","None","Yes","Yes","160","Low","4.8","7.7","28","80","18","Tolerant","-28","Routinely Available","Yes","Medium"
"COFO","","Cornus foemina","","Medium","Moderate","16","16","No","None","No","Yes","240","Medium","5.8","7.2","36","60","16","Intermediate","-3","Routinely Available","Yes","Medium"
"COMA21","","Cornus mas","","High","Slow","20","26","No","None","Yes","Yes","130","Medium","5.0","7.5","30","50","30","Intermediate","-27","Routinely Available","Yes","Medium"
"CORA6","","Cornus racemosa","","High","Moderate","6","10","No","None","No","Yes","130","Medium","4.8","7.4","24","60","16","Tolerant","-47","Routinely Available","Yes","Medium"
"COSEO","","Cornus sericea ssp. occidentalis","","High","Moderate","15","16","No","None","Yes","Yes","100","Medium","4.8","7.5","18","60","16","Intermediate","-35","Routinely Available","Yes","Medium"
"COSES","","Cornus sericea ssp. sericea","","High","Moderate","12","12","No","None","Yes","Yes","90","High","4.8","7.5","18","60","20","Intolerant","-38","Routinely Available","Yes","High"
"COAM3","","Corylus americana","","High","Moderate","10","10","No","None","No","Yes","100","Medium","5.0","7.0","32","60","20","Intermediate","-33","Routinely Available","Yes","Medium"
"COCO6","","Corylus cornuta","","","Moderate","15","15","No","None","No","Yes","90","Medium","4.8","7.5","20","80","16","Tolerant","-47","Routinely Available","Yes","Medium"
"COAC2","","Cotoneaster acutifolius","","High","Moderate","6","13","No","None","Yes","Yes","120","Medium","5.5","7.5","32","60","16","Intermediate","-38","Routinely Available","Yes","Low"
"COAP3","","Cotoneaster apiculatus","","High","Rapid","4","5.0","No","None","No","Yes","90","Medium","5.0","7.5","24","50","14","Intermediate","-33","Routinely Available","Yes","Low"
"COHO80","","Cotoneaster horizontalis","","High","Rapid","1","4.0","Yes","None","No","Yes","100","Medium","5.5","7.0","32","60","16","Tolerant","-28","Routinely Available","No","Low"
"CRAE","","Crataegus aestivalis","","Medium","Slow","26","26","No","None","No","Yes","180","High","4.3","7.3","34","60","18","Intolerant","-8","Routinely Available","Yes","High"
"CRCR2","","Crataegus crus-galli","","High","Moderate","30","30","No","None","Yes","Yes","90","Low","4.5","7.2","24","60","24","Intolerant","-33","Routinely Available","Yes","Medium"
"CRDO2","","Crataegus douglasii","","High","Moderate","15","15","No","None","Yes","Yes","120","High","4.8","7.5","16","260","12","Intermediate","-47","Routinely Available","Yes","High"
"CRMA5","","Crataegus marshallii","","Medium","Moderate","25","25","No","None","No","Yes","240","Medium","5.8","7.2","34","60","18","Tolerant","-3","Routinely Available","Yes","High"
"CRPH","","Crataegus phaenopyrum","","Medium","Moderate","25","30","No","None","No","Yes","160","Medium","4.3","7.0","32","60","30","Intolerant","-33","Routinely Available","Yes","Low"
"CRVI2","","Crataegus viridis","","Medium","Moderate","24","30","No","None","No","Yes","180","High","4.3","7.3","36","60","18","Intolerant","-24","Routinely Available","Yes","High"
"CRCU","","Crescentia cujete","","","Slow","49","33","Yes","None","Yes","No","365","","","","","","36","","40","Routinely Available","Yes","Low"
"CRJA3","","Cryptomeria japonica","","High","Rapid","35","55","Yes","None","No","Yes","180","Medium","5.5","7.0","36","55","24","Intolerant","-8","Routinely Available","Yes",""
"CYOB2","","Cydonia oblonga","","","Slow","16","16","No","None","Yes","Yes","120","Medium","5.0","6.5","24","60","30","Intolerant","-23","Routinely Available","Yes",""
"CYDA","","Cynodon dactylon","KY, N'EAST, STATE, SWSS, WSWS","Low","Rapid","","1.4","No","None","Yes","Yes","160","High","5.0","8.0","32","100","14","Intolerant","-8","Routinely Available","Yes","Medium"
"CYES","","Cyperus esculentus","KY, N'EAST, NE&GP, STATE, SWSS, WSWS","Medium","Rapid","","0.7","No","None","Yes","Yes","90","Low","5.0","7.0","14","55","10","Intolerant","42","Routinely Available","No",""
"CYHA","","Cyperus haspan","HEAR","High","Moderate","","3.2","No","None","Yes","Yes","230","Medium","4.5","7.5","35","60","16","Intolerant","7","Routinely Available","No",""
"CYOD","","Cyperus odoratus","SWSS","Medium","Moderate","","2.0","No","None","Yes","Yes","80","Medium","5.0","8.3","18","55","8","Intolerant","42","Routinely Available","No",""
"CYST","","Cyperus strigosus","SWSS","High","Moderate","","3.2","No","None","No","Yes","100","Medium","6.4","7.0","16","60","16","Intolerant","-33","Routinely Available","No",""
"CYSC4","","Cytisus scoparius","Cal-IPC, STATE, WSWS","Low","Rapid","7","7.0","No","High","Yes","Yes","150","Low","5.5","7.0","30","60","16","Intolerant","-13","Routinely Available","Yes","Low"
"DAGL","","Dactylis glomerata","N'EAST, NE&GP","Low","Moderate","","3.0","No","None","No","Yes","120","Medium","5.0","7.5","32","65","12","Tolerant","-33","Routinely Available","Yes","Medium"
"DACAC","","Dalea candida var. candida","","Medium","Moderate","","2.0","No","High","Yes","Yes","90","Medium","6.0","8.0","12","20","14","Intermediate","-38","Routinely Available","Yes","High"
"DAPUP","","Dalea purpurea var. purpurea","","Medium","Moderate","","3.0","No","Low","Yes","Yes","120","Medium","6.0","8.0","16","24","16","Intolerant","-38","Routinely Available","Yes","Medium"
"DACA3","","Danthonia californica","","","Moderate","","2.0","No","None","No","Yes","90","Medium","6.0","7.0","6","40","16","Intolerant","17","Routinely Available","Yes","Low"
"DAIN","","Danthonia intermedia","","Medium","Moderate","","1.5","No","None","Yes","No","80","Low","6.0","7.8","6","20","8","Intermediate","-33","Routinely Available","Yes","Low"
"DAFRF","","Dasiphora fruticosa ssp. floribunda","","","","","","","","","","","","","","","","","","","","",""
"DAFRF","DAFL3","Dasiphora floribunda","","High","Slow","","2.5","No","None","Yes","Yes","180","Low","5.0","8.0","16","40","18","Intermediate","-28","Routinely Available","Yes","Medium"
"DEVE","","Decodon verticillatus","","High","Rapid","","8.0","No","None","Yes","Yes","145","High","4.9","8.6","30","60","10","Intermediate","-23","Routinely Available","Yes",""
"DERE","","Delonix regia","","High","Rapid","50","50","No","Low","Yes","Yes","365","Medium","4.0","7.0","40","100","60","Intermediate","31","Routinely Available","Yes",""
"DEGL3","","Delphinium glaucum","","Medium","Rapid","","8.0","No","None","Yes","Yes","120","High","5.6","7.0","55","125","6","Tolerant","-28","Routinely Available","Yes","High"
"DECE","","Deschampsia cespitosa","","","","","","","","","","","","","","","","","","","","",""
"DECE","DECA18","Deschampsia caespitosa","","Medium","Moderate","","3.4","No","None","Yes","Yes","100","Low","4.8","7.2","14","24","14","Intolerant","-38","Routinely Available","Yes","Low"
"DEDA","","Deschampsia danthonioides","","Medium","Moderate","","1.5","No","None","Yes","Yes","145","Medium","5.8","7.2","12","30","6","Intermediate","52","Routinely Available","Yes","Low"
"DEEL","","Deschampsia elongata","","Medium","Moderate","","3.0","No","None","Yes","Yes","90","Low","6.0","7.8","10","24","8","Intolerant","-38","Routinely Available","Yes","Low"
"DEIL","","Desmanthus illinoensis","SWSS","Medium","Moderate","","3.0","No","Low","Yes","Yes","130","Medium","5.0","8.0","16","24","12","Intolerant","-18","Routinely Available","Yes","High"
"DEVI3","","Desmanthus virgatus","","Low","Slow","","2.0","Yes","Medium","Yes","Yes","365","Low","5.0","8.0","30","80","24","Tolerant","17","Routinely Available","Yes","High"
"DEHE9","","Desmodium heterophyllum","","Low","Rapid","1","0.5","Yes","Low","Yes","No","365","Medium","5.0","7.0","16","59","12","Tolerant","12","Routinely Available","Yes","High"
"DEIN3","","Desmodium incanum","","Low","Moderate","10","4.0","Yes","Low","Yes","No","269","Medium","5.0","7.0","39","118","12","Intolerant","6","Routinely Available","Yes","High"
"DIFO","","Dicentra formosa","","Low","Rapid","","1.5","No","None","Yes","Yes","200","Low","5.5","6.0","55","155","6","Tolerant","-23","Routinely Available","Yes","Low"
"DICL","","Dichanthelium clandestinum","","Medium","Slow","","2.0","No","None","Yes","Yes","130","Low","4.0","7.5","32","65","16","Intolerant","-33","Routinely Available","Yes","High"
"DIAR5","","Dichanthium aristatum","","Medium","Rapid","","3.0","No","None","Yes","Yes","120","Medium","5.5","7.0","24","60","18","Intolerant","22","Routinely Available","Yes","Low"
"DIER","","Digitaria eriantha","","Medium","Moderate","","2.0","No","None","Yes","Yes","180","Low","5.0","7.0","40","60","6","Intolerant","17","Routinely Available","No","Medium"
"DIVI5","","Diospyros virginiana","","High","Slow","25","55","No","None","Yes","Yes","200","Medium","4.7","7.5","30","80","36","Tolerant","-21","Routinely Available","Yes","Medium"
"DISP","","Distichlis spicata","NE&GP, WSWS","High","Slow","","1.1","No","None","No","Yes","80","Medium","6.4","10.0","5","70","2","Intolerant","-35","Routinely Available","No","Low"
"DOPU","","Dodecatheon pulchellum","","Medium","","","2.0","No","None","Yes","Yes","100","Medium","6.0","7.8","12","30","8","Intermediate","-33","Routinely Available","Yes","Low"
"DOVI","","Dodonaea viscosa","","High","Rapid","15","15","Yes","None","Yes","Yes","310","Low","6.5","9.2","8","32","18","Intermediate","18","Routinely Available","Yes",""
"DRFR2","","Dracaena fragrans","","High","Slow","26","17","No","None","No","No","365","","","","","","12","Tolerant","40","Routinely Available","Yes",""
"DRAM","","Dracopis amplexicaulis","","Medium","Rapid","","2.0","No","None","Yes","Yes","120","High","6.0","7.5","10","60","6","Intolerant","32","Routinely Available","Yes","Low"
"DROC","","Dryas octopetala","","Medium","Rapid","1","0.3","Yes","Medium","Yes","No","120","Low","6.0","9.0","14","32","12","Intermediate","-62","Routinely Available","Yes","Low"
"DRCR4","","Dryopteris cristata","","","Moderate","","1.6","No","None","No","Yes","120","High","3.5","6.5","15","55","12","Tolerant","-33","Routinely Available","Yes","Low"
"DUAR3","","Dulichium arundinaceum","","High","Moderate","","2.6","No","None","Yes","Yes","100","High","4.7","7.5","16","60","18","Intermediate","-38","Routinely Available","Yes",""
"ECPA","","Echinacea pallida","","Medium","Moderate","","1.2","No","None","Yes","Yes","90","Medium","6.5","7.2","14","40","14","Intolerant","-33","Routinely Available","Yes","Low"
"ECPU","","Echinacea purpurea","","Medium","Moderate","","1.2","No","None","Yes","Yes","90","Medium","6.5","7.2","14","40","24","Intolerant","-33","Routinely Available","Yes","Low"
"ECFR","","Echinochloa frumentacea","","High","Rapid","","3.9","No","None","No","Yes","150","Medium","4.7","7.4","18","60","8","Intolerant","37","Routinely Available","Yes","Medium"
"ELAN","","Elaeagnus angustifolia","Cal-IPC, NE&GP, STATE, WI, WSWS","Medium","Rapid","35","35","No","High","Yes","Yes","100","High","6.0","9.5","12","40","20","Intolerant","-38","Routinely Available","Yes","Low"
"ELAC","","Eleocharis acicularis","","Medium","Moderate","","0.7","No","None","No","Yes","110","Medium","4.5","7.0","14","50","10","Intolerant","-23","Routinely Available","Yes",""
"ELCE","","Eleocharis cellulosa","","Medium","Moderate","","2.6","No","None","Yes","Yes","230","High","5.7","8.8","36","60","10","Intolerant","12","Routinely Available","Yes",""
"ELEQ","","Eleocharis equisetoides","","High","Moderate","","3.2","No","None","Yes","Yes","90","High","5.0","7.0","35","60","8","Intolerant","-33","Routinely Available","Yes",""
"ELOB2","","Eleocharis obtusa","","High","Moderate","","1.6","No","None","Yes","Yes","120","Medium","4.1","8.7","18","60","10","Intolerant","37","Routinely Available","Yes",""
"ELOV","","Eleocharis ovata","","High","Moderate","","1.5","No","None","Yes","Yes","90","Medium","4.6","6.8","32","60","6","Intolerant","47","Routinely Available","Yes",""
"ELPA3","","Eleocharis palustris","","High","Moderate","","1.3","No","None","Yes","No","100","High","4.0","8.0","16","60","14","Intolerant","-38","Routinely Available","Yes",""
"ELPA5","","Eleocharis parvula","","High","Moderate","","1.2","No","None","Yes","Yes","80","Medium","6.0","8.0","18","60","10","Intolerant","-38","Routinely Available","Yes",""
"ELQU","","Eleocharis quadrangulata","","High","Moderate","","4.0","No","None","Yes","Yes","150","High","5.8","7.2","24","60","8","Intolerant","-28","Routinely Available","Yes",""
"ELCA7","","Elodea canadensis","SWSS","High","Rapid","","","No","None","No","No","160","High","4.8","7.8","12","60","0","Intolerant","-33","Routinely Available","Yes",""
"ELCA4","","Elymus canadensis","","Medium","Rapid","","3.0","No","None","Yes","Yes","90","Medium","5.0","7.9","20","45","16","Tolerant","-43","Routinely Available","Yes","Medium"
"ELGL","","Elymus glaucus","","Medium","Rapid","","3.3","No","None","Yes","Yes","110","Low","5.8","8.5","16","60","12","Tolerant","-38","Routinely Available","Yes","Low"
"ELLAL","","Elymus lanceolatus ssp. lanceolatus","","Medium","Moderate","","2.3","No","None","Yes","Yes","90","Low","6.6","8.4","8","25","16","Intolerant","-38","Routinely Available","Yes","Medium"
"ELRI","","Elymus riparius","","Medium","Moderate","","4.5","No","None","Yes","Yes","100","High","4.5","7.2","24","55","10","Tolerant","-33","Routinely Available","Yes",""
"ELTRT","","Elymus trachycaulus ssp. trachycaulus","","Medium","Rapid","","3.0","No","None","No","Yes","90","Medium","5.6","9.0","8","25","16","Intolerant","-38","Routinely Available","Yes","High"
"ELVI3","","Elymus virginicus","","Medium","Moderate","","2.5","No","None","Yes","Yes","130","Medium","5.0","7.0","36","55","16","Tolerant","-28","Routinely Available","Yes","High"
"EMNI","","Empetrum nigrum","","High","Slow","1","1.0","No","None","No","Yes","90","Low","4.3","7.8","16","55","16","Intolerant","-43","Routinely Available","Yes",""
"EPCO","","Epilobium coloratum","","","Moderate","","3.3","No","None","No","Yes","100","High","4.5","7.5","20","55","10","Intermediate","-33","Routinely Available","Yes","Medium"
"EQAR","","Equisetum arvense","N'EAST, NE&GP, WSWS","","Rapid","","0.9","No","None","Yes","Yes","100","High","4.0","7.0","20","100","6","Intermediate","-43","Routinely Available","Yes","Low"
"EQFL","","Equisetum fluviatile","","High","Rapid","","3.0","No","None","Yes","Yes","100","High","4.5","6.0","30","55","6","Intolerant","-33","Routinely Available","No",""
"EQSY","","Equisetum sylvaticum","","","Rapid","","0.9","No","None","Yes","Yes","100","Low","4.0","6.5","20","100","6","Tolerant","-43","Routinely Available","Yes","Low"
"ERCU2","","Eragrostis curvula","","High","Rapid","","3.0","No","None","Yes","Yes","160","Medium","4.5","8.5","15","40","14","Intolerant","-8","Routinely Available","Yes","Low"
"ERLE","","Eragrostis lehmanniana","","Medium","Rapid","","2.5","No","None","Yes","Yes","210","Low","5.0","8.5","10","30","10","Intolerant","8","Routinely Available","Yes","Low"
"ERSU","","Eragrostis superba","","Medium","Rapid","","3.5","No","None","Yes","Yes","210","Medium","4.5","8.0","10","40","16","Intolerant","12","Routinely Available","Yes","Medium"
"ERTR3","","Eragrostis trichodes","","Medium","Rapid","","3.5","No","None","Yes","No","120","Medium","6.0","8.5","14","35","16","Intolerant","-23","Routinely Available","Yes","High"
"EROP","","Eremochloa ophiuroides","","High","Rapid","","0.4","No","None","Yes","Yes","200","Medium","5.0","7.5","34","60","12","Intermediate","12","Routinely Available","No","Low"
"ERNAN5","","Ericameria nauseosa ssp. nauseosa var. nauseosa","","High","Slow","4","4.0","No","None","Yes","Yes","150","Medium","7.5","8.7","6","20","20","Intolerant","-38","Routinely Available","Yes","Low"
"ERPE3","","Erigeron peregrinus","","Medium","Moderate","","2.0","No","None","Yes","Yes","80","High","6.4","7.5","12","20","8","Intermediate","-38","Routinely Available","Yes","Low"
"ERPH","","Erigeron philadelphicus","SWSS","Medium","Moderate","","2.8","No","None","No","Yes","110","Medium","4.8","7.8","18","55","10","Intermediate","-28","Routinely Available","Yes",""
"ERDE5","","Eriocaulon decangulare","","High","Moderate","","2.6","No","None","Yes","Yes","160","Medium","4.0","7.6","40","60","18","Intolerant","-8","Routinely Available","Yes",""
"ERFA2","","Eriogonum fasciculatum","","High","Moderate","3","3.0","No","None","Yes","Yes","180","Low","7.5","8.5","8","20","10","Intolerant","7","Routinely Available","Yes","Medium"
"ERNI2","","Eriogonum niveum","","High","Slow","1","1.5","No","None","Yes","Yes","120","Low","6.5","8.0","6","18","12","Intermediate","-23","Routinely Available","Yes","High"
"ERUM","","Eriogonum umbellatum","","High","Slow","1","1.0","No","None","Yes","Yes","140","Low","6.5","9.0","8","18","20","Intolerant","7","Routinely Available","Yes","Medium"
"ERAN6","","Eriophorum angustifolium","","High","Moderate","","2.0","No","None","Yes","Yes","100","High","4.0","6.5","24","55","10","Intolerant","-43","Routinely Available","Yes",""
"ERSA11","","Erythrina sandwicensis","","Low","Moderate","30","30","No","High","Yes","Yes","365","Medium","5.5","7.0","25","35","36","Intermediate","50","Routinely Available","Yes",""
"ESCA2","","Eschscholzia californica","SEEPPC","Medium","Moderate","","1.2","No","None","No","Yes","120","Low","5.8","7.5","8","18","10","Intermediate","7","Routinely Available","Yes","Low"
"EURA14","","Eubotrys racemosus","","","","","","","","","","","","","","","","","","","","",""
"EURA14","LERA4","Leucothoe racemosa","","High","Moderate","13","13","No","None","No","Yes","210","Medium","4.5","6.0","45","50","12","Tolerant","-33","Routinely Available","Yes","Medium"
"EUCA2","","Eucalyptus camaldulensis","","High","Rapid","60","120","Yes","None","Yes","Yes","180","High","5.0","8.5","20","100","20","Intermediate","17","Routinely Available","Yes","Low"
"EUGL","","Eucalyptus globulus","Cal-IPC, HEAR","High","Rapid","80","160","Yes","None","Yes","Yes","240","High","5.0","6.8","21","60","24","Intolerant","17","Routinely Available","Yes","Low"
"EURO2","","Eucalyptus robusta","HEAR","High","Rapid","85","160","Yes","None","Yes","Yes","340","Medium","4.5","6.5","40","250","24","Intolerant","16","Routinely Available","Yes","Low"
"EUSA","","Eucalyptus saligna","","High","Rapid","130","160","Yes","None","Yes","Yes","340","Medium","4.0","6.0","60","200","24","Intolerant","21","Routinely Available","Yes","Low"
"EUAM9","","Euonymus americanus","","","","","","","","","","","","","","","","","","","","",""
"EUAM9","EUAM7","Euonymus americana","","Medium","Moderate","8","6.0","No","None","Yes","Yes","120","High","5.0","6.0","35","70","8","Intermediate","-23","Routinely Available","Yes","Low"
"EUGL19","","Eurybia glauca","","Medium","Moderate","","2.0","No","None","Yes","Yes","130","Medium","5.9","8.0","10","20","10","Intolerant","-43","Routinely Available","Yes","Low"
"EUMA27","","Eurybia macrophylla","","High","Moderate","","4.6","No","None","No","Yes","90","Medium","4.9","6.9","35","55","10","Tolerant","-28","Routinely Available","Yes","Low"
"EUFI14","","Eutrochium fistulosum","","","","","","","","","","","","","","","","","","","","",""
"EUFI14","EUFI","Eupatorium fistulosum","KY","High","Rapid","","6.0","No","None","No","Yes","120","High","4.5","7.0","35","50","16","Intermediate","-28","Routinely Available","No","Low"
"EUMAM4","","Eutrochium maculatum var. maculatum","","","","","","","","","","","","","","","","","","","","",""
"EUMAM4","EUMAM","Eupatorium maculatum var. maculatum","","High","Rapid","","6.0","No","None","No","Yes","120","High","5.5","7.0","35","50","16","Intermediate","-28","Routinely Available","No","Low"
"FATA","","Fagopyrum tataricum","SWSS","Medium","Rapid","","1.4","No","None","Yes","Yes","155","Low","4.6","6.5","35","55","8","Intolerant","42","Routinely Available","Yes","Medium"
"FAGR","","Fagus grandifolia","","High","Slow","30","80","No","None","Yes","Yes","92","Medium","4.1","7.2","28","80","32","Tolerant","-44","Routinely Available","Yes","Low"
"FEAR2","","Festuca arizonica","","High","Slow","","2.0","No","None","No","No","150","Low","6.5","7.5","10","16","10","Intolerant","-23","Routinely Available","Yes","Medium"
"FEBR7","","Festuca brevipila","","","","","","","","","","","","","","","","","","","","",""
"FEBR7","FETR3","Festuca trachyphylla","","High","Slow","","0.5","No","None","Yes","Yes","90","Low","4.5","8.5","12","26","10","Intolerant","-38","Routinely Available","Yes","Medium"
"FEHE2","","Festuca heteromalla","","High","Moderate","","2.1","No","None","No","Yes","100","Low","5.0","8.0","24","50","12","Tolerant","-43","Routinely Available","Yes","Low"
"FEOV","","Festuca ovina","","Medium","Moderate","","0.5","No","None","Yes","Yes","90","Low","5.5","7.5","12","30","10","Intermediate","-43","Routinely Available","Yes","Medium"
"FERU2","","Festuca rubra","","Medium","Moderate","","2.0","No","None","No","Yes","90","Medium","5.0","7.5","30","70","12","Tolerant","-43","Routinely Available","Yes","Medium"
"FOAC","","Forestiera acuminata","","","Moderate","30","33","No","None","No","Yes","140","High","6.0","8.0","35","50","12","Tolerant","-18","Routinely Available","Yes",""
"FOSU","","Forsythia suspensa","","High","Rapid","6","6.0","No","None","No","Yes","100","Medium","5.0","7.5","32","60","16","Intolerant","-43","Routinely Available","No","Low"
"FOGA","","Fothergilla gardenii","","Medium","Moderate","4","4.0","No","None","No","Yes","120","High","5.0","6.0","35","90","12","Intermediate","-8","Routinely Available","Yes","Low"
"FRCAC5","","Frangula californica ssp. californica","","Low","Rapid","5","5.0","Yes","None","Yes","Yes","180","Medium","6.0","8.3","14","24","16","Intolerant","7","Routinely Available","Yes","Low"
"FRAL","","Franklinia alatamaha","","High","Moderate","30","30","No","None","Yes","Yes","200","High","5.5","7.0","32","60","24","Intermediate","-3","Routinely Available","Yes","Low"
"FRAM2","","Fraxinus americana","N'EAST","High","Moderate","40","90","No","None","Yes","Yes","90","High","4.7","7.5","28","80","40","Intolerant","-34","Routinely Available","Yes","Medium"
"FRCA3","","Fraxinus caroliniana","","","Moderate","39","39","No","None","Yes","Yes","200","High","3.5","6.0","36","65","12","Tolerant","2","Routinely Available","Yes","Low"
"FRLA","","Fraxinus latifolia","","High","Moderate","35","70","No","None","Yes","Yes","180","Medium","4.8","7.0","20","118","24","Intermediate","-8","Routinely Available","Yes","Low"
"FRNI","","Fraxinus nigra","","Medium","Slow","20","65","No","None","Yes","Yes","80","High","4.4","8.2","20","50","40","Intolerant","-47","Routinely Available","Yes","Medium"
"FRPE","","Fraxinus pennsylvanica","N'EAST","High","Rapid","35","80","No","None","Yes","Yes","120","Medium","4.7","8.1","15","71","40","Tolerant","-47","Routinely Available","Yes","Medium"
"FRPR","","Fraxinus profunda","","High","Rapid","65","120","No","None","No","Yes","180","High","4.5","7.3","36","70","28","Intermediate","-24","Routinely Available","Yes","Medium"
"FRVE2","","Fraxinus velutina","","High","Moderate","30","40","No","None","No","No","160","Low","5.8","7.5","12","20","24","Intolerant","-13","Routinely Available","Yes","Low"
"GAAR","","Gaillardia aristata","","Medium","Moderate","","2.0","No","None","Yes","Yes","100","Medium","5.5","7.9","16","30","16","Intolerant","-33","Routinely Available","Yes","Low"
"GAPU","","Gaillardia pulchella","","Medium","Rapid","","2.0","No","None","Yes","Yes","160","Medium","7.0","8.5","7","18","12","Intolerant","32","Routinely Available","Yes","Medium"
"GEAN","","Gentiana andrewsii","","Medium","Moderate","","2.0","No","None","No","Yes","100","Medium","5.8","7.2","36","60","6","Intermediate","-38","Routinely Available","Yes","Low"
"GECA","","Gentiana calycosa","","Medium","Rapid","","0.6","No","None","No","Yes","120","Medium","5.6","7.5","25","60","6","Tolerant","7","Routinely Available","Yes","Medium"
"GECL","","Gentiana clausa","","Medium","Rapid","","1.5","No","None","No","Yes","100","Medium","5.8","7.2","36","60","6","Intermediate","-38","Routinely Available","Yes","Low"
"GEER2","","Geranium erianthum","","Medium","Moderate","","3.0","No","None","No","No","120","","4.0","7.5","20","276","12","Intolerant","-20","Routinely Available","Yes","Low"
"GEVI2","","Geranium viscosissimum","","Medium","Rapid","","3.0","No","None","No","Yes","140","Low","7.0","8.0","10","19","6","Tolerant","-13","Routinely Available","Yes","Medium"
"GELA","","Geum laciniatum","","Medium","Rapid","","3.1","No","None","Yes","Yes","130","Medium","5.0","7.0","36","55","12","Intermediate","-23","Routinely Available","Yes",""
"GEMA4","","Geum macrophyllum","","Medium","Moderate","","2.0","No","None","Yes","Yes","100","Medium","5.0","7.0","12","55","12","Tolerant","-33","Routinely Available","Yes",""
"GERI2","","Geum rivale","","Medium","Moderate","","3.0","No","None","Yes","Yes","95","High","4.8","7.0","30","55","12","Intolerant","-33","Routinely Available","Yes",""
"GLTR","","Gleditsia triacanthos","N'EAST, NE&GP","Medium","Rapid","35","70","No","None","No","Yes","150","Medium","4.8","8.0","20","70","48","Intolerant","-36","Routinely Available","Yes","Medium"
"GLSE2","","Gliricidia sepium","","High","Rapid","65","65","Yes","High","Yes","Yes","365","Medium","5.0","7.0","60","80","60","Intolerant","17","Routinely Available","No","High"
"GLCA","","Glyceria canadensis","","","Moderate","","3.2","No","None","Yes","Yes","100","Medium","5.0","8.5","20","50","16","Intolerant","-33","Routinely Available","No",""
"GLME2","","Glyceria melicaria","","","Moderate","","3.9","No","None","No","Yes","100","Medium","4.5","8.0","35","50","16","Intolerant","-33","Routinely Available","No",""
