"Accepted Symbol","Synonym Symbol","Scientific Name","Federal Noxious Status","State Noxious Status","Invasive","C:N Ratio","Foliage Texture","Growth Rate","Height, Mature (feet)","Leaf Retention","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Frost Free Days, Minimum","Moisture Use","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Palatable Browse Animal","Palatable Graze Animal"
"SOAL6","","Solidago altissima","","","SWSS","","","","","","","","","","","","","","","","",""
"SOAL6","SOCAS5","Solidago canadensis var. scabra","","","","High","Fine","Rapid","5.0","No","None","Yes","Yes","130","Medium","18","55","8","Intermediate","-28","Low","Low"
"SOCA6","","Solidago canadensis","","","N'EAST, WSWS","High","Coarse","Rapid","3.5","No","None","Yes","Yes","80","Medium","16","60","12","Intolerant","-43","Low","Low"
"SORU2","","Solidago rugosa","","","","High","Coarse","Rapid","3.3","No","None","Yes","Yes","95","Medium","24","60","12","Intermediate","-33","Low","Low"
"SOSE","","Solidago sempervirens","","","","Medium","Coarse","Moderate","3.5","No","None","Yes","Yes","180","Low","35","60","14","Intolerant","-13","Low","Low"
"SOSIG","","Sorbus sitchensis var. grayi","","","","High","Fine","Slow","15","No","None","Yes","Yes","100","Medium","20","40","16","Intolerant","-28","Low","Low"
"SPGR2","","Sphaeralcea grossulariifolia","","","","Medium","Medium","Moderate","2.0","No","None","Yes","Yes","100","Low","8","14","12","Intermediate","-23","Low","Low"
"SPAL2","","Spiraea alba","","","","Medium","Fine","Moderate","3.0","No","None","Yes","Yes","110","Medium","18","55","12","Intermediate","-33","Low","Low"
"SPDO","","Spiraea douglasii","","","","High","Coarse","Moderate","7.0","No","None","Yes","Yes","100","Low","16","50","16","Intolerant","-23","Low","Low"
"SPTO2","","Spiraea tomentosa","","","","High","Medium","Moderate","4.0","No","None","Yes","Yes","110","Low","30","60","14","Intolerant","-33","Low","Low"
"SYCO4","","Symphyotrichum cordifolium","","","","Medium","Medium","Moderate","5.0","No","None","Yes","Yes","90","Low","16","50","10","Intolerant","-38","Low","Low"
"SYFOF","","Symphyotrichum foliaceum var. foliaceum","","","","Medium","Medium","Moderate","2.0","No","None","Yes","Yes","90","Medium","12","45","10","Intolerant","-38","Low","Low"
"SYLAL3","","Symphyotrichum laeve var. laeve","","","","Medium","Medium","Moderate","4.0","No","None","Yes","Yes","100","Medium","20","35","10","Intolerant","-43","Low","Low"
"SYLAH7","","Symphyotrichum lanceolatum ssp. lanceolatum var. hirsuticaule","","","","High","Coarse","Slow","6.0","No","None","Yes","Yes","65","Low","8","16","8","Intermediate","-28","Low","Low"
"SYSUS","","Symphyotrichum subspicatum var. subspicatum","","","","High","Fine","Rapid","0.3","No","None","Yes","Yes","120","High","19","64","6","Intermediate","-8","Low","Low"
"SYTI","","Symplocos tinctoria","","","","","Medium","Moderate","20","No","None","Yes","Yes","178","","40","100","","Tolerant","-22","Low","Low"
"SYVU","","Syringa vulgaris","","","","Low","Medium","Moderate","20","No","None","Yes","Yes","110","Medium","30","50","14","Intermediate","-38","Low","Low"
"TAOF","","Taraxacum officinale","","","KY, N'EAST, NE&GP, SWSS, WSWS","Low","Coarse","Rapid","0.5","No","None","Yes","Yes","100","Medium","12","55","6","Intermediate","-38","Low","Low"
"TEGL","","Tetradymia glabrata","","","","High","Fine","Slow","12","No","None","Yes","Yes","200","Low","3","11","6","Intolerant","-13","Low","Low"
"THNO","","Thelypteris noveboracensis","","","","","Medium","Moderate","1.5","No","None","Yes","Yes","100","Low","30","60","6","Tolerant","-28","Low","Low"
"TRDU","","Tragopogon dubius","","","KY, N'EAST, NE&GP, SEEPPC, SWSS, WSWS","Low","Fine","Rapid","3.0","No","None","Yes","Yes","160","Low","6","40","6","Intolerant","-28","Low","Low"
"TYAN","","Typha angustifolia","","","","Medium","Coarse","Rapid","4.9","No","None","Yes","Yes","130","High","30","60","10","Intolerant","-33","Low","Low"
"TYLA","","Typha latifolia","","","NE&GP, SWSS, WSWS","High","Coarse","Rapid","5.0","No","None","Yes","Yes","100","High","14","180","14","Intermediate","-36","Low","Low"
"ULAL","","Ulmus alata","","","","High","Coarse","Moderate","65","No","None","Yes","Yes","180","Medium","40","70","40","Tolerant","-18","Low","Low"
"ULRU","","Ulmus rubra","","","","High","Coarse","Rapid","85","No","None","Yes","Yes","90","High","21","83","40","Tolerant","-43","Low","Low"
"VACE","","Vaccinium cespitosum","","","","","","","","","","","","","","","","","","","",""
"VACE","VACA13","Vaccinium caespitosum","","","","High","Coarse","Moderate","1.0","No","None","Yes","Yes","100","High","19","69","12","Tolerant","-33","Low","Low"
"VASC","","Vaccinium scoparium","","","","High","Coarse","Rapid","2.0","No","None","Yes","Yes","100","Medium","19","69","12","Tolerant","-13","Low","Low"
"VEMI2","","Vernonia missurica","","","","High","Coarse","Moderate","6.0","No","None","Yes","Yes","165","Medium","34","55","8","Intolerant","-33","Low","Low"
"VIRA","","Viburnum rafinesqueanum","","","","High","Coarse","Moderate","6.0","No","None","Yes","Yes","100","Low","30","45","14","Tolerant","-43","Low","Low"
"VIMI2","","Vinca minor","","","SEEPPC, WI","High","Coarse","Moderate","0.3","Yes","None","Yes","Yes","130","Low","30","60","8","Tolerant","-33","Low","Low"
"WYMO","","Wyethia mollis","","","","High","Coarse","Slow","2.5","No","None","Yes","Yes","165","Low","8","16","20","Tolerant","-13","Low","Low"
"YUEL","","Yucca elata","","","","High","Coarse","Moderate","20","Yes","None","Yes","Yes","150","Low","10","15","6","Intolerant","-13","Low","Low"
"YUGL","","Yucca glauca","","","NE&GP, WSWS","High","Coarse","Moderate","1.0","Yes","None","Yes","Yes","140","Low","7","60","6","Intolerant","-28","Low","Low"
"ZESE80","","Zelkova serrata","","","","High","Fine","Slow","89","No","None","Yes","Yes","110","Medium","20","70","36","Intolerant","-33","Low","Low"
