,Accepted Symbol,Synonym Symbol,Scientific Name,Growth Habit,Invasive,Bloat,C:N Ratio,Coppice Potential,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Shade Tolerance,"Temperature, Minimum (°F)",Commercial Availability,Propogated by Seed,Fodder Product,Palatable Browse Animal,Palatable Graze Animal,Protein Potential,Sheffields Aval
117,ACAN10,,Acacia aneura,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
118,ACAN,,Acacia angustissima,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
119,ACANC,,Acacia angustissima var. chisosiana,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
120,ACANH,,Acacia angustissima var. hirta,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
121,ACANL,,Acacia angustissima var. leucothrix,"Forb/herb, Subshrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
122,ACANS,,Acacia angustissima var. shrevei,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
123,ACANS2,,Acacia angustissima var. suffrutescens,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
124,ACAR12,,Acacia arenaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
125,ACAU,,Acacia auriculiformis,"Tree, Shrub",FLEPPC,,,,,,,,,,,,,,,,,,,,,,,,,,,False
126,ACBA,,Acacia baileyana,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,True
127,ACBE6,,Acacia beckleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
128,ACBE,,Acacia berlandieri,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
129,ACBI5,,Acacia binervata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
130,ACBO4,,Acacia boomanii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
131,ACBR3,,Acacia brachybotrya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
132,ACBU3,,Acacia buxifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
133,ACCA23,,Acacia caesiella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
134,ACCA24,,Acacia calamifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
135,ACCA25,,Acacia cambagei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
136,ACCA27,,Acacia cardiophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
137,ACCA21,,Acacia catechu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
138,ACCA35,,Acacia caven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
139,ACCH8,,Acacia chinchillensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
140,ACCH,,Acacia choriophylla,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
141,ACCI6,,Acacia cibaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
142,ACCO15,,Acacia cognata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
143,ACCO16,,Acacia colletioides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
144,ACCO24,,Acacia collinsii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
145,ACCO,,Acacia confusa,Tree,HEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,False
146,ACCO17,,Acacia conspersa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
147,ACCO2,,Acacia constricta,"Tree, Shrub",,None,Medium,No,Slow,6.0,9.0,Moderate,Low,Yes,Yes,No,Low,7.0,8.5,700.0,4.0,20.0,12.0,Intolerant,-13.0,Field Collections Only,Yes,No,Low,,Medium,False
148,ACCOC,,Acacia constricta var. constricta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
149,ACCOP9,,Acacia constricta var. paucispina,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
150,ACCO18,,Acacia continua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
151,ACCO5,,Acacia cornigera,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
152,ACCR2,,Acacia craspedocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
153,ACCU4,,Acacia cultriformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
154,ACCU5,,Acacia cupularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
155,ACCY2,,Acacia cyclops,Shrub,,None,High,Yes,Rapid,12.0,12.0,Short,Medium,Yes,Yes,Yes,Medium,6.0,8.3,1200.0,16.0,40.0,18.0,Intolerant,14.0,Field Collections Only,Yes,No,Low,,Low,False
156,ACDA5,,Acacia davyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
157,ACDE3,,Acacia dealbata,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,True
158,ACDE11,,Acacia deanei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
159,ACDEP2,,Acacia deanei ssp. paucijuga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
160,ACDE12,,Acacia decora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
161,ACDE,,Acacia decurrens,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
162,ACDI7,,Acacia dietrichiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
163,ACDI8,,Acacia difformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
164,ACDO2,,Acacia doratoxylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
165,ACDR2,,Acacia drummondii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
166,ACDU3,,Acacia dunnii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
167,ACEB2,,Acacia eburnea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
168,ACEL,,Acacia elata,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
169,ACEM,,Acacia ×emoryana,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
170,ACER4,,Acacia erioloba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
171,ACER5,,Acacia erubescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
172,ACES2,,Acacia estrophiolata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
173,ACEX3,,Acacia extensa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
174,ACFA,,Acacia farnesiana,"Tree, Shrub",HEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,True
175,ACFI4,,Acacia fimbriata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
176,ACFL6,,Acacia floribunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
177,ACGA3,,Acacia galpinii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
178,ACGE8,,Acacia genistifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
179,ACGE7,,Acacia gerrardii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
180,ACGL5,,Acacia gladiiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
181,ACGL6,,Acacia glandulicarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
182,ACGL4,,Acacia glauca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
183,ACGO2,,Acacia goetzei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
184,ACGR9,,Acacia gracilifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
185,ACGR,,Acacia greggii,"Tree, Shrub",,None,Medium,No,Slow,15.0,20.0,Long,None,Yes,Yes,Yes,Low,6.5,8.5,700.0,3.0,20.0,12.0,Intolerant,-13.0,Field Collections Only,Yes,No,Medium,,Medium,False
186,ACGRG3,,Acacia greggii var. greggii,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
187,ACGRW,,Acacia greggii var. wrightii,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
188,ACHA4,,Acacia hakeoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
189,ACHE8,,Acacia hebeclada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
190,ACHE12,,Acacia hemiteles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
191,ACHO2,,Acacia holosericea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
192,ACHO4,,Acacia horrida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
193,ACHO5,,Acacia howittii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
194,ACIM4,,Acacia imbricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
